REASON,MOLECULE_NAME,SMILES,logP
Duplicate,1,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,"1,69"
Duplicate,2,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,"1,69"
Duplicate,3,CCC1(N=C(O)N(C)C1=O)C1=CC=CC=C1,"1,69"
Duplicate,4,CCC1(N=C(O)N(C)C1=O)C1=CC=CC=C1,"1,69"
Duplicate,7,CCN(CC)C(=O)C1=CC2[C@@H](CC3=CNC4=CC=CC2=C34)N(C)C1,"2,95"
Duplicate,8,CCN(CC)C(=O)C1=CC2C(CC3=CNC4=CC=CC2=C34)N(C)C1,"2,95"
Duplicate,9,CCN(CC)C(O)=C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,"2,95"
Duplicate,10,CCN(CC)C(O)=C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,"2,95"
Duplicate,12,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,"2,95"
Duplicate,13,CCN(CC)C(=O)C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,"2,95"
Duplicate,14,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,"2,95"
Duplicate,15,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,"2,95"
Duplicate,16,CCN(CC)C(=O)C1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34,"2,95"
Duplicate,18,OCC(O)C(O)C(O)C(O)CO,"-2,80"
Duplicate,19,OCC(O)C(O)C(O)C(O)CO,"-2,80"
Duplicate,20,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"-2,80"
Duplicate,21,OCC(O)C(O)C(O)C(O)CO,"-2,80"
Duplicate,24,OC[C@H](O)C1=C(O)C(O)C(=O)O1,"-1,85"
Duplicate,25,OCC(O)C1=C(O)C(O)C(=O)O1,"-1,85"
Duplicate,27,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,"-1,85"
Duplicate,28,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,"-1,85"
Duplicate,29,OCC(O)C1OC(=O)C(O)=C1O,"-1,85"
Duplicate,30,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,"-1,85"
Duplicate,31,OCC(O)C1OC(=O)C(O)=C1O,"-1,85"
Duplicate,33,OC[C@H](O)[C@H]1OC(=O)C(O)C1=O,"-1,85"
Duplicate,34,OCC(O)C1OC(=O)C(O)C1=O,"-1,85"
Duplicate,35,OCC(O)C1OC(=O)C(=O)C1O,"-1,85"
Duplicate,36,OCC(O)C1OC(=O)C(=O)C1O,"-1,85"
Duplicate,38,CC1=CC=C(C(O)=O)C(O)=C1,"2,99"
Duplicate,39,CC1=CC=C(C(O)=O)C(O)=C1,"2,99"
Duplicate,40,Cc1ccc(C(O)=O)c(O)c1,"2,99"
Duplicate,41,Cc1ccc(C(O)=O)c(O)c1,"2,99"
Duplicate,44,OC(=C)NC1=CC=C(C(O)=O)C(O)=C1,"1,62"
Duplicate,45,CC(=O)NC1=CC=C(C(O)=O)C(O)=C1,"1,62"
Duplicate,46,CC(=O)NC1=CC=C(C(O)=O)C(O)=C1,"1,62"
Duplicate,47,CC(=O)Nc1ccc(C(O)=O)c(O)c1,"1,62"
Duplicate,48,CC(O)=NC1=CC=C(C(O)=O)C(O)=C1,"1,62"
Duplicate,49,CC(O)=NC1=CC=C(C(O)=O)C(O)=C1,"1,62"
Duplicate,51,CN1C2CC(CC1C1OC21)OC(=O)C(CO)C1=CC=CC=C1,"0,98"
Duplicate,52,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,"0,98"
Duplicate,53,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,"0,98"
Duplicate,54,CN1C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,"0,98"
Duplicate,55,CN1C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,"0,98"
Duplicate,56,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,"0,98"
Duplicate,58,NCCC1=CNC=N1,"-0,70"
Duplicate,59,NCCC1=CN=CN1,"-0,70"
Duplicate,60,NCCC1=CN=CN1,"-0,70"
Duplicate,61,NCCc1cnc[nH]1,"-0,70"
Duplicate,62,NCCc1cnc[nH]1,"-0,70"
Duplicate,64,S=P(N1CC1)(N1CC1)N1CC1,"0,53"
Duplicate,66,C1=CC2=C(C=C1)C1=CC3=C(C=C1C=C2)C1=C(C=CC=C1)C=C3,"6,75"
Duplicate,67,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1,"6,75"
Duplicate,68,c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21,"6,75"
Duplicate,69,c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21,"6,75"
Duplicate,72,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(C=C(O)O)C2=C1,"4,27"
Duplicate,73,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(O)=O)C2=C1,"4,27"
Duplicate,74,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1,"4,27"
Duplicate,75,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1,"4,27"
Duplicate,78,NC(CC1=CNC2=CC=CC=C12)=C(O)O,"-1,05"
Duplicate,79,NC(=CC1=CNC2=CC=CC=C12)C(O)O,"-1,05"
Duplicate,81,OC(O)C(=N)CC1=CNC2=CC=CC=C12,"-1,05"
Duplicate,83,NC(CC1=CNC2=CC=CC=C12)C(O)=O,"-1,05"
Duplicate,84,NC(Cc1c[nH]c2ccccc12)C(O)=O,"-1,05"
Duplicate,85,NC(Cc1c[nH]c2ccccc12)C(O)=O,"-1,05"
Duplicate,87,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,"2,72"
Duplicate,88,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,"2,72"
Duplicate,90,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,"3,21"
Duplicate,91,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,"3,21"
Duplicate,92,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,"3,21"
Duplicate,94,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"-0,07"
Duplicate,95,CN1c2ncn(C)c2C(=O)N(C)C1=O,"-0,07"
Duplicate,96,CN1c2ncn(C)c2C(=O)N(C)C1=O,"-0,07"
Duplicate,97,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,"-0,07"
Duplicate,98,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"-0,07"
Duplicate,101,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,"3,32"
