MOLECULE_NAME,SMILES,logP
0,CCC1(NC(=O)N(C)C1=O)c1ccccc1,"1,69"
5,CCN(CC)C(O)=C1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,"2,95"
6,CCN(CC)C(=O)C1=CC2C(CC3=CNC4=CC=CC2=C34)N(C)C1,"2,95"
11,CCN(CC)C(=O)C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,"2,95"
17,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"-2,80"
22,OC[C@H](O)[C@H]1OC(=O)C(=O)C1O,"-1,85"
23,OCC(O)C1=C(O)C(O)C(=O)O1,"-1,85"
26,OCC(O)C1OC(=O)C(O)=C1O,"-1,85"
32,OCC(O)C1OC(=O)C(O)C1=O,"-1,85"
37,Cc1ccc(C(O)=O)c(O)c1,"2,99"
42,CC(=O)Nc1ccc(C(O)=O)c(O)c1,"1,62"
43,OC(=C)NC1=CC=C(C(O)=O)C(O)=C1,"1,62"
50,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,"0,98"
57,NCCC1=CNC=N1,"-0,70"
63,S=P(N1CC1)(N1CC1)N1CC1,"0,53"
65,c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21,"6,75"
70,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(O)=O)C2=C1,"4,27"
71,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(C=C(O)O)C2=C1,"4,27"
76,NC(=CC1=CNC2=CC=CC=C12)C(O)O,"-1,05"
77,NC(CC1=CNC2=CC=CC=C12)=C(O)O,"-1,05"
80,OC(O)C(=N)CC1=CNC2=CC=CC=C12,"-1,05"
82,NC(CC1=CNC2=CC=CC=C12)C(O)=O,"-1,05"
86,CCOC(=O)C1(CCN(C)CC1)c1ccccc1,"2,72"
89,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,"3,21"
93,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,"-0,07"
99,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,"3,32"
100,CC12CCC3C(CC=C4CC(=O)CCC34C)C1CCC2O,"3,32"
107,CC12CCC3C(CC=C4C=C(O)CCC34C)C1CCC2O,"3,32"
110,CC12CCC3C(CC=C4CC(O)=CCC34C)C1CCC2O,"3,32"
113,CC12CCC3C(CCC4=CC(O)=CCC34C)C1CCC2O,"3,32"
116,CN(C)CC(CN1c2ccccc2Sc2ccccc12)N(C)C,"4,76"
120,Cn1c2nc[nH]c2c(=O)n(C)c1=O,"-0,03"
126,CN1C2=NC=NC2=C(O)N(C)C1=O,"-0,03"
128,COC1=CC=CC(OC)=C1C(O)=N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,"1,22"
129,COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2C1SC(C)(C)C2=C(O)O,"1,22"
135,COC1=CC=CC(OC)=C1C(=O)N=C1C(O)N2C1SC(C)(C)C2=C(O)O,"1,22"
137,COC1=CC=CC(OC)=C1C(O)=NC1=C2SC(C)(C)C(N2C1O)=C(O)O,"1,22"
141,COC1=CC=CC(OC)=C1C(O)=NC1C2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
144,COC1=CC=CC(OC)=C1C(O)N=C1C2SC(C)(C)C(N2C1=O)=C(O)O,"1,22"
151,COC1=CC=CC(OC)=C1C(O)N=C1C2SC(C)(C)C(N2C1=O)C(O)=O,"1,22"
153,COC1=CC=CC(OC)=C1C(O)=NC1=C(O)N2C1SC(C)(C)C2C(O)=O,"1,22"
164,COC1=CC=CC(OC)=C1C(O)=NC1=C2SC(C)(C)C(N2C1O)C(O)=O,"1,22"
